row,shift_id,logged_by,note,label,absence_reason,authorised,absentee,confidence,comment
75,S108268,SUP-18,Radebe off sikc. again. cvered..,absence_cover,sick,,Radebe,confident,
76,S106848,SUP-11,no issues on site,routine,,,,confident,
77,S104527,SUP-12,Covreed for Mabaso agn - 3rd time this month,absence_cover,unknown,,Mabaso,confident,
78,S106415,SUP-20,"masjien is stukkend, alles met die hand gedoen",equipment_failure,,,,confident,
79,S107414,SUP-04,shift handovver delayed by 50 min,late_handover,,,,confident,
80,S103439,SUP-16,"no replacement sent, ngicela sort this out",absence_cover,no_show,,unnamed_relief,confident,
81,S103630,SUP-21,"Botha absent, took her rounds as well",absence_cover,unknown,,Botha,confident,
82,S109293,SUP-14,"waited 45 min for handover, OB book not signed",late_handover,,,,confident,
83,S104108,SUP-22,next shift guard did not pitch. had to cover..,absence_cover,no_show,,unnamed_relief,confident,
84,S100332,SUP-18,"covering Zulu post, no show no call",absence_cover,no_show,,Zulu,confident,
85,S107298,SUP-08,"double duty today, naidoo on fammily responsibility leave..",absence_cover,leave,,Naidoo,confident,
86,S100269,SUP-10,no relief. stayed. someone must please sort the roster,absence_cover,no_show,,unnamed_relief,confident,
87,S109288,SUP-17,all quiet,routine,,,,confident,
88,S107595,SUP-08,as per normal,routine,,,,confident,
89,S102865,SUP-10,Client asked for extra patrol after the break-in Tuesday,client_requested,,unclear,,confident,
90,S107594,SUP-18,"gedek vir Mthembu, siek gemeld",absence_cover,sick,,Mthembu,confident,
91,S101883,SUP-20,"buffer machine kaput, did the floor by hand",equipment_failure,,,,confident,
92,S106369,SUP-17,"handover late agn, keys missing",late_handover,,,,confident,
93,S102055,SUP-11,"covering Wyk post, no show no call",absence_cover,no_show,,Wyk,confident,
94,S106307,SUP-08,"oorhandiging was laat, gewag vir sleutles",late_handover,,,,confident,
95,S105071,SUP-08,"no replacement sent, ngicela sort this out",absence_cover,no_show,,unnamed_relief,confident,
96,S108354,SUP-03,"gedek vir Tshabaala, siek gemeld",absence_cover,sick,,Tshabaala,confident,
97,S109125,SUP-07,"buffer machine kaput, did the floor by hand",equipment_failure,,,,confident,
98,S104320,SUP-19,client signed for the extra hrs but real reason is relief no show again,absence_cover,no_show,,unnamed_relief,confident,Lie
99,S102555,SUP-23,"gedek vir molefe, siek gemeld..",absence_cover,sick,,Molefe,confident,
100,S103011,SUP-02,"still on site, relief was suppose to coe six",absence_cover,unknown,,unnamed_relief,ambiguous,
101,S108062,SUP-14,"uBotha akezanga namhlanje, ngimele yena",absence_cover,no_show,,Botha,confident,"""akezanga namhlanje"" = didn't come today"
102,S103551,SUP-19,CLIETN ASKED FOR EXTRA PATROL AFTER THE BREAK-IN TUESDAY,client_requested,,unclear,,confident,
103,S100172,SUP-19,"uSibiya akezanga namhlanje, ngimele yena",absence_cover,no_show,,Sibiya,confident,"""akezanga namhlanje"" = didn't come today"
104,S107478,SUP-19,centre manager requested additional cover for stocktake,client_requested,,unclear,,confident,
105,S103450,SUP-11,"client wanted extra man on the gate for the event, approved",client_requested,,yes,,confident,
106,S108597,SUP-01,"handover late an, keys missing..",late_handover,,,,confident,
107,S103062,SUP-24,"no replacement sent, ngicela sort this out",absence_cover,no_show,,unnamed_relief,confident,
108,S104907,SUP-07,"machine down ang, took twice as long..",equipment_failure,,,,confident,
109,S102158,SUP-08,"uTshabalala akezanga namhlanje, ngimele yena",absence_cover,no_show,,Tshabalala,confident,"""akezanga namhlanje"" = didn't come today"
110,S105002,SUP-19,Clint requsted deep clean before the audit - approved,client_requested,,yes,,confident,
111,S106282,SUP-05,"CLIENT ASKED US TO STAY FOR THE DELIVERY, OK'D BY CENTRE MGMT",client_requested,,yes,,confident,
112,S102977,SUP-12,"gedek vir Mthembu, siek gemeld !",absence_cover,sick,,Mthembu,confident,
113,S105906,SUP-10,"double duty today, Adams on family responsibility leave",absence_cover,leave,,Adams,confident,
114,S108017,SUP-19,"relief only arrived six, stayed until thhen",absence_cover,unknown,,unnamed_relief,ambiguous,"relief hrs late, arrived 06:00."
115,S102929,SUP-06,"next shift akafikanga, ngihlale kuze kube 6",absence_cover,no_show,,unnamed_relief,ambiguous," ""akafikanga"" = didn't arrive; ""ngihlale kuze kube 6"" = stayed until 6"
116,S102054,SUP-05,kllient het ekstra ure gevra vir stocktake,client_requested,,unclear,,confident,
117,S108056,SUP-16,Nexxt shift guuard did not pitch. Had to cover.,absence_cover,no_show,,unnamed_relief,confident,
118,S102163,SUP-15,"Hendricks didnt come in, covered the psot",absence_cover,no_show,,Hendricks,confident,
119,S105651,SUP-09,"oorhandiging was lata, gewag vir sleutels",late_handover,,,,confident,
120,S103211,SUP-15,"additional cover requested by site manager, signed off",client_requested,,yes,,confident,
121,S101599,SUP-17,client signed for the extra hours but real reason is relief no show agin,absence_cover,no_show,,unnamed_relief,confident,Lie
122,S104382,SUP-16,niks om te rapporteer nie,routine,,,,confident,
123,S102622,SUP-10,client signed for the extra hours but real reason is relief no show again,absence_cover,no_show,,unnamed_relief,confident,Lie
124,S101617,SUP-08,,blank,,,,confident,
125,S109173,SUP-14,.,blank,,,,confident,
126,S108049,SUP-20,"client wanted extra man on the gate for the event, approved",client_requested,,yes,,confident,
127,S106887,SUP-04,relief no show AGAIN,absence_cover,no_show,,unnamed_relief,confident,
128,S101555,SUP-04,Clint ased for extra patrol after the break-in Tuesday,client_requested,,unclear,,confident,
129,S103655,SUP-12,"late handover, waitnig on paperwork",late_handover,,,,confident,
130,S106627,SUP-11,extra hrs approved by client for the evetn setup !,client_requested,,yes,,confident,
131,S108027,SUP-10,klient het ekstra ure gevra vir stocktake,client_requested,,unclear,,confident,
132,S108105,SUP-04,"aflos het nie opgedaag nie, moes aanbly",absence_cover,no_show,,unnamed_relief,confident,
133,S109289,SUP-21,client signed for the extra hrs but real reason is relief no show agn,absence_cover,no_show,,unnamed_relief,confident,Lie
134,S103981,SUP-15,"buffer machine kaput, did the floor by hand",equipment_failure,,,,confident,
135,S106108,SUP-15,RELIEF NO SHOW AGAIN,absence_cover,no_show,,unnamed_relief,confident,
136,S105346,SUP-17,"machien down agn, took twice as long",equipment_failure,,,,confident,
137,S106130,SUP-07,extra hours approved by client for the event setup,client_requested,,yes,,confident,
138,S104313,SUP-06,client signde for the extra hours but real reaon is relief no show agn,absence_cover,no_show,,unnamed_relief,confident,Lie
139,S101324,SUP-10,"requested by centre management for load in, signed off",client_requested,,yes,,confident,
140,S106235,SUP-19,"gedek vir Tshabalala, siek gemeld",absence_cover,sick,,Tsabalala,confident,
141,S107244,SUP-07,"waited 25 min for handover, OB book not signed",late_handover,,,,confident,
142,S105582,SUP-11,"generator fault, stayed to monitor",equipment_failure,,,,confident,
143,S108623,SUP-20,"nxt shift akafikanga, ngihlale kuze kube 0600",absence_cover,no_show,,unnamed_relief,confident," ""akafikanga"" = didn't arrive; ""ngihlale kuze kube 006"" = stayed until 6"
144,S106391,SUP-24,akukho lutho,routine,,,,confident,"""akukho lutho"" = nothing to report"
145,S103061,SUP-17,"generator fault, stayed to monitor..",equipment_failure,,,,confident,
146,S103751,SUP-04,"still on site, relief was suppose to come six",absence_cover,unknown,,unnamed_relief,ambiguous,
147,S105652,SUP-20,"handover late agn, keys missing",late_handover,,,,confident,
148,S100549,SUP-18,"requested by centre management for load in, signed off",client_requested,,yes,,confident,
149,S102422,SUP-12,fine,blank,,,,confident,
150,S102121,SUP-18,akukho lutho,routine,,,,confident,"""akukho lutho"" = nothing to report"
151,S104017,SUP-13,"uPillay akezanga namhlanje, nimele yena !",absence_cover,no_show,,Pillay,confident,"""akezanga namhlanje"" = didn't come today"
152,S105345,SUP-20,"next shift akafikanga, ngihlale kuze kube 06h00",absence_cover,no_show,,unnamed_relief,ambiguous," ""akafikanga"" = didn't arrive; ""ngihlale kuze kube 006"" = stayed until 6"
153,S107156,SUP-21,"usithole akezanga namhlanje, ngimeel yena",absence_cover,no_show,,Sithole,confident,
154,S103584,SUP-09,"worked through, baloyi at the clinic",absence_cover,sick,,Baloyi,confident,
155,S100013,SUP-22,"no replacement sent, ngicela sort this out",absence_cover,no_show,,unnamed_relief,confident,
156,S106561,SUP-05,"srubber broke down, had to do the floor manually",equipment_failure,,,,confident,
157,S102887,SUP-14,client signed for the extra hrs but real reason is relieef no show again,absence_cover,no_show,,unnamed_relief,confident,Lie
158,S108587,SUP-10,"worked through, september at the clinic",absence_cover,sick,,September,confident,
159,S100486,SUP-23,"waited for relif, noody came through",absence_cover,no_show,,unnamed_relief,confident,
160,S105504,SUP-03,"client asked us to stay for the delivery, ok'd by centre mgmt",client_requested,,yes,,confident,
161,S104565,SUP-11,"masjien is stukkend, alles met die hand gedoen..",equipment_failure,,,,confident,
162,S104037,SUP-01,"masjien is stukkend, alles met die hand gedoen",equipment_failure,,,,confident,
163,S108183,SUP-08,"double duty today, Radebe on family responsibility leave",absence_cover,leave,,Radebe,confident,
164,S103366,SUP-23,quiet shift,routine,,,,confident,
165,S107060,SUP-13,Covered for Botha again - 3rd time this month..,absence_cover,unknown,,Botha,confident,
166,S106900,SUP-23,client signed for the extra hrs but real reason is relief no show again,absence_cover,no_show,,unnamed_relief,confident,Lie
167,S106989,SUP-09,"buffer machine kaput, did the floor by hand",equipment_failure,,,,confident,
168,S105888,SUP-19,klient het ekstra ure gevra vir stocktake..,client_requested,,unclear,,confident,
169,S107810,SUP-03,"oorhandiging was laat, gewag vir sleutels",late_handover,,,,confident,
170,S104098,SUP-20,fine,blank,,,,confident,
171,S109331,SUP-17,,blank,,,,confident,
172,S104092,SUP-21,"handover late agn, keys missing",late_handover,,,,confident,
173,S101531,SUP-03,Covered for Wyk again - 3rd time this month,absence_cover,unknown,,Wyk,confident,
174,S108185,SUP-18,"covering Wyk post, no show no call",absence_cover,no_show,,Wyk,confident,
175,S105115,SUP-08,Naidoo off sick. agn. covered.,absence_cover,sick,,Naidoo,confident,
176,S109245,SUP-22,no issues on site,routine,,,,confident,
177,S106457,SUP-16,"USIBIYA AKEZANA NAMHLANJE, NGIMELE YENA..",absence_cover,no_show,,Sibiya,confident,"""akezan[g]a namhlanje"" = ""didn't come today"""
178,S103645,SUP-04,"masjien is stukkend, alles met die hand gedoen",equipment_failure,,,,confident,
179,S107753,SUP-19,"no replacement sent, ngicela sort this out..",absence_cover,no_show,,unnamed_relief,confident,
180,S106375,SUP-01,"still on site, relieef was suppose to come six",absence_cover,unknown,,unnamed_relief,ambiguous,
